Report Number,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude
2018,LARCENY-THEFT,Theft From Building,23D,DOWNTOWN COMMERCIAL,-122.3352605,47.6036254
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTH BEACON HILL,-122.3172802,47.58998806
2018,LARCENY-THEFT,All Other Larceny,23H,HIGHLAND PARK,-122.3360281,47.52042665
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,BRIGHTON/DUNLAP,-122.2703535,47.53730026
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,JUDKINS PARK/NORTH BEACON HILL,-122.3102687,47.60042246
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,NORTHGATE,-122.3131081,47.70853181
2018,LARCENY-THEFT,All Other Larceny,23H,QUEEN ANNE,-122.350854,47.62208691
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,DOWNTOWN COMMERCIAL,-122.3389803,47.60601377
2018,LARCENY-THEFT,Shoplifting,23C,CAPITOL HILL,-122.324008,47.61907481
2018,LARCENY-THEFT,All Other Larceny,23H,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,DOWNTOWN COMMERCIAL,-122.3305103,47.60188591
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,GEORGETOWN,-122.3264044,47.55525039
2018,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,GENESEE,-122.2860948,47.56616801
2018,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,QUEEN ANNE,-122.3508076,47.62796076
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,BITTERLAKE,-122.356806,47.7078142
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,BITTERLAKE,-122.356806,47.7078142
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,QUEEN ANNE,-122.3528206,47.62092644
2018,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,MOUNT BAKER,-122.3042394,47.58633028
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,MOUNT BAKER,-122.3042394,47.58633028
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,MID BEACON HILL,-122.302882,47.55180103
2018,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,JUDKINS PARK/NORTH BEACON HILL,-122.3070097,47.59925078
2018,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,GREENWOOD,-122.3646704,47.69280737
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,ROOSEVELT/RAVENNA,-122.3006452,47.67396209
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3310158,47.60737345
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,FREMONT,-122.3460923,47.64904097
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,NORTHGATE,-122.3056502,47.69529602
2018,FRAUD OFFENSES,Wire Fraud,26E,FIRST HILL,-122.3250079,47.6108729
2018,LARCENY-THEFT,All Other Larceny,23H,FAUNTLEROY SW,-122.392708,47.53065739
2018,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,FAUNTLEROY SW,-122.392708,47.53065739
2018,ROBBERY,Robbery,120,RAINIER VIEW,-122.2553065,47.50970729
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,HIGH POINT,-122.3709505,47.5513608
2018,LARCENY-THEFT,All Other Larceny,23H,JUDKINS PARK/NORTH BEACON HILL,-122.3150284,47.5996001
2018,LARCENY-THEFT,All Other Larceny,23H,SODO,-122.329058,47.5850737
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,RAINIER VIEW,-122.2700281,47.51624803
2018,LARCENY-THEFT,All Other Larceny,23H,WALLINGFORD,-122.3321102,47.65049255
2018,LARCENY-THEFT,All Other Larceny,23H,SANDPOINT,-122.2920548,47.69021049
2018,LARCENY-THEFT,All Other Larceny,23H,UNIVERSITY,-122.3208502,47.65670623
2018,LARCENY-THEFT,All Other Larceny,23H,ALKI,-122.407524,47.58026969
2018,BAD CHECKS,Bad Checks,90A,DOWNTOWN COMMERCIAL,-122.3380477,47.61170568
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,RAINIER VIEW,-122.2630915,47.50718089
2018,LARCENY-THEFT,All Other Larceny,23H,MOUNT BAKER,-122.2962069,47.57733075
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,NORTH ADMIRAL,-122.3726072,47.57900158
2018,LARCENY-THEFT,Shoplifting,23C,CENTRAL AREA/SQUIRE PARK,-122.3041593,47.61808643
2018,LARCENY-THEFT,Theft From Building,23D,CAPITOL HILL,-122.3230816,47.62046445
2018,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,CAPITOL HILL,-122.3208573,47.6093624
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,NORTHGATE,-122.3447064,47.70579857
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,NORTHGATE,-122.3447064,47.70579857
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTH BEACON HILL,-122.3032572,47.58501972
2018,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,CENTRAL AREA/SQUIRE PARK,-122.3035536,47.61621503
2018,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2018,LARCENY-THEFT,Theft From Building,23D,CAPITOL HILL,-122.3230671,47.62256802
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,MORGAN,-122.3805623,47.54209589
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,NORTH BEACON HILL,-122.3049389,47.56058954
2018,LARCENY-THEFT,Theft From Building,23D,CENTRAL AREA/SQUIRE PARK,-122.3067728,47.61699804
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,DOWNTOWN COMMERCIAL,-122.3306248,47.60359055
2018,LARCENY-THEFT,All Other Larceny,23H,JUDKINS PARK/NORTH BEACON HILL,-122.3105101,47.59249308
2018,ROBBERY,Robbery,120,CENTRAL AREA/SQUIRE PARK,-122.3037215,47.60801108
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,SANDPOINT,-122.2802592,47.67760095
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,FREMONT,-122.3590047,47.65414704
2018,LARCENY-THEFT,All Other Larceny,23H,CENTRAL AREA/SQUIRE PARK,-122.3102234,47.60217894
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTH BEACON HILL,-122.3172804,47.59076389
2018,LARCENY-THEFT,All Other Larceny,23H,ROOSEVELT/RAVENNA,-122.2903506,47.67850755
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,-122.3408925,47.61239802
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,FREMONT,-122.3460923,47.64904097
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3391205,47.61120103
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,SANDPOINT,-122.2789304,47.70023098
2018,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,CAPITOL HILL,-122.324008,47.61907481
2018,LARCENY-THEFT,All Other Larceny,23H,DOWNTOWN COMMERCIAL,-122.3370868,47.60729906
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,MAGNOLIA,-122.409467,47.65409154
2018,ROBBERY,Robbery,120,CAPITOL HILL,-122.3208823,47.6204918
2018,LARCENY-THEFT,Theft From Coin-Operated Machine or Device,23E,CAPITOL HILL,-122.3230489,47.62370445
2018,LARCENY-THEFT,Shoplifting,23C,NORTHGATE,-122.3192068,47.7085692
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,GREENWOOD,-122.3460216,47.70360675
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,BALLARD NORTH,-122.3804142,47.70225609
2018,LARCENY-THEFT,Shoplifting,23C,ALASKA JUNCTION,-122.386804,47.56021562
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTHGATE,-122.3350835,47.70685216
2018,LARCENY-THEFT,All Other Larceny,23H,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,NORTH BEACON HILL,-122.3095987,47.57250809
2018,LARCENY-THEFT,Shoplifting,23C,DOWNTOWN COMMERCIAL,-122.3330404,47.60455383
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTHGATE,-122.3357108,47.70413102
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,WALLINGFORD,-122.3370549,47.66212703
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,NORTHGATE,-122.3447064,47.70579857
2018,ROBBERY,Robbery,120,UNIVERSITY,-122.3049647,47.66307327
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CAPITOL HILL,-122.3131308,47.62310234
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3353208,47.60872452
2018,FRAUD OFFENSES,Impersonation,26C,NORTHGATE,-122.3420508,47.70778305
2018,FRAUD OFFENSES,Wire Fraud,26E,HIGH POINT,-122.3706326,47.55010425
2018,LARCENY-THEFT,All Other Larceny,23H,BRIGHTON/DUNLAP,-122.2708188,47.53095796
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3415802,47.6088555
2018,LARCENY-THEFT,Theft From Building,23D,BALLARD NORTH,-122.3990312,47.69304424
2018,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,-122.3384704,47.62028978
2018,ROBBERY,Robbery,120,FIRST HILL,-122.3200827,47.60621058
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CAPITOL HILL,-122.3131308,47.62310234
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,FREMONT,-122.3525804,47.65720766
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,BALLARD SOUTH,-122.3650634,47.67508091
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,DOWNTOWN COMMERCIAL,-122.3407976,47.6084931
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.3114503,47.61702955
2018,LARCENY-THEFT,All Other Larceny,23H,PHINNEY RIDGE,-122.3544103,47.66843055
2018,ROBBERY,Robbery,120,FIRST HILL,-122.3194096,47.60393961
2018,LARCENY-THEFT,Theft From Building,23D,DOWNTOWN COMMERCIAL,-122.3350179,47.61090902
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,MOUNT BAKER,-122.3051648,47.58899084
2018,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,CENTRAL AREA/SQUIRE PARK,-122.3017628,47.60350713
2018,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,HIGH POINT,-122.3750698,47.54563408
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,HIGH POINT,-122.3750698,47.54563408
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.310917,47.60168167
2018,LARCENY-THEFT,All Other Larceny,23H,MADRONA/LESCHI,-122.3011699,47.59602511
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.3014639,47.60901631
